epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,train_precision_macro,train_recall_macro,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_f1_macro,val_precision_macro,val_recall_macro,val_f1_weighted,val_precision_weighted,val_recall_weighted
1,6.800171940376569,6.7987085058985945,0.0015062761506276152,0.0025100401606425703,0.00020464496288996554,0.00011333003504066709,0.0015303367753256394,0.00020307009766885344,0.0001142996425156447,0.0015062761506276152,0.0003073555064089586,0.00017203294580918615,0.0025055679287305124,0.0002628521077316258,0.00014722239792734537,0.0025100401606425703
2,6.347411087866109,5.527163340863454,0.1087866108786611,0.28263052208835343,0.06867400450080005,0.11330122203423779,0.07871821941977844,0.0901205330223605,0.14488363863069664,0.1087866108786611,0.1657917322628859,0.18441739883379302,0.20879732739420936,0.22135810012337953,0.2512633488019648,0.28263052208835343
3,4.117738062647097,2.7604503171989716,0.36167364016736403,0.6004016064257028,0.2615435644262578,0.3478520147457067,0.28182898825994596,0.3106800591437473,0.3789751886282108,0.36167364016736403,0.46567173760494657,0.47277859001051065,0.514569413511507,0.5332655322621146,0.5454849385118254,0.6004016064257028
4,1.721423046977949,1.2011051312029122,0.7184937238493724,0.8062248995983936,0.6558592301452865,0.7173810209769831,0.656581564933458,0.6955723925622573,0.7225596274920689,0.7184937238493724,0.7609469038756344,0.7660924790379133,0.7935226429101707,0.7784098849610898,0.7928120309520913,0.8062248995983936
5,0.627750851000702,0.7410130190202989,0.8861924686192468,0.8654618473895582,0.867845459734494,0.8874525807358573,0.8662621281218162,0.8825650250627017,0.8924462114853452,0.8861924686192468,0.8383594752191635,0.8482624527167956,0.8625649591685226,0.8521535442469179,0.8776530726078918,0.8654618473895582
6,0.2964313229357348,0.6538710782685911,0.938744769874477,0.875,0.9339819538433359,0.9412658085542271,0.933641216491996,0.9381973194636908,0.9427632525540475,0.938744769874477,0.8477246620506151,0.855254792225839,0.8678544914625094,0.8591597307003048,0.8743737924837323,0.875
7,0.13919429914721884,0.5992993917690224,0.9722175732217573,0.8895582329317269,0.9703724072819617,0.9740157052796251,0.9693915772423567,0.9720618328754056,0.9738934055252046,0.9722175732217573,0.8718538328783318,0.8816404178597943,0.8869710467706013,0.8810582406214937,0.8990665041116848,0.8895582329317269
8,0.07366924706862063,0.5700054226151432,0.9864435146443514,0.8955823293172691,0.9861989612319941,0.9881194436595326,0.9859807910476063,0.986272746283679,0.9872815185744055,0.9864435146443514,0.8781793246420522,0.8841338505592403,0.899034892353378,0.8858705043414469,0.9032632820659929,0.8955823293172691
9,0.05454569511333769,0.557706614155846,0.9896234309623431,0.9076305220883534,0.988700140188028,0.9902289865541535,0.9884139678683109,0.9895472220932271,0.9903294362541224,0.9896234309623431,0.8886078410577298,0.8929472902746843,0.9052524127691166,0.8979509307069548,0.911303547523427,0.9076305220883534
10,0.038594830445165915,0.5311755968863705,0.9921338912133891,0.9106425702811245,0.9914650680304153,0.9928643213999562,0.991050056723776,0.9919975353417274,0.9925435666146962,0.9921338912133891,0.8960025806907767,0.9030438010393467,0.910913140311804,0.9029694173519475,0.9187248995983935,0.9106425702811245
