epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,train_precision_macro,train_recall_macro,train_f1_weighted,train_precision_weighted,train_recall_weighted,val_f1_macro,val_precision_macro,val_recall_macro,val_f1_weighted,val_precision_weighted,val_recall_weighted
1,4.26248745282491,3.147779975297316,0.4058813036391725,0.4479808342438159,0.00484625065214735,0.026370362199352036,0.0033782457140379245,0.24968568365260865,0.24410025249060105,0.4058813036391725,0.04320218765564728,0.12477023435758185,0.03742849706673485,0.3177388563406099,0.3717574457825474,0.4479808342438159
2,2.5478513940175374,2.0179886188147202,0.49397194099752134,0.5701264933239635,0.19315957059599162,0.4109844975535343,0.1538106276357145,0.40594688220612524,0.47233120166414216,0.49397194099752134,0.35509353188588516,0.553635691799293,0.33270577490600445,0.513505928301972,0.5817497843917935,0.5701264933239635
3,1.6536803534825644,1.5743224885103837,0.6026482363614276,0.6152775825720309,0.4417278049220606,0.5983630082930074,0.383277818301457,0.567730499622015,0.604713454970816,0.6026482363614276,0.4769064528224454,0.6411322137770107,0.44416210395879124,0.5799176321588428,0.6378584485963428,0.6152775825720309
4,1.2752818349202475,1.4154386053670127,0.661557667504956,0.6352518154134458,0.5711319565019563,0.6683262909738716,0.5210182081095819,0.6445960342209487,0.6637484454898398,0.661557667504956,0.4961838664655178,0.6777444948084761,0.44823446812133194,0.597477623258671,0.6554936664724854,0.6352518154134458
5,1.0719948999087017,1.303254023475467,0.6974352479587697,0.6604591239166081,0.6348740016706337,0.7105343123930772,0.5918998952770123,0.6861793168868396,0.6988437543608672,0.6974352479587697,0.5722647382608063,0.67465012919048,0.5512658395826896,0.6380275515143964,0.6701500012165869,0.6604591239166081
6,0.9498205669720967,1.2626946863700759,0.7203714664550697,0.6692340126493324,0.6748203638712411,0.7349213392615435,0.6389138071623298,0.711852275283856,0.7199606483580008,0.7203714664550697,0.5902388671843682,0.6706476103074716,0.5820692083323727,0.6488922550755626,0.6775393944265603,0.6692340126493324
7,0.8524012062549591,1.2002652624867998,0.7404852429186946,0.6806465214335911,0.7049202818592022,0.7533982741490153,0.674410881887364,0.7331121655362296,0.7393787891319525,0.7404852429186946,0.5961146933369222,0.6834036473307016,0.5822255322038484,0.6608978787479066,0.6873721980892852,0.6806465214335911
8,0.7861062422593434,1.2016114598175265,0.7530078909482837,0.680981494495198,0.7253532744258326,0.7679701183756985,0.6978921665347001,0.7469868194497187,0.7519022954693474,0.7530078909482837,0.5906162014380726,0.6958837825393756,0.5670423490671559,0.6558168433832439,0.6884981282803694,0.680981494495198
9,0.7342061010201772,1.1742084113494404,0.7651512410215586,0.6892199578355587,0.7411195192978292,0.7777782108485035,0.7173520873131112,0.7592955793059558,0.7631231066542293,0.7651512410215586,0.619498522856929,0.6927188327845074,0.6107285287878391,0.672376694215743,0.6961642759269258,0.6892199578355587
10,0.700101153532664,1.166475792819599,0.7714061034016629,0.6929304286718201,0.752705093962366,0.7862069585286452,0.7303375869028104,0.7663899203272642,0.7695951744185301,0.7714061034016629,0.6308281972710138,0.6912763717469573,0.62946453269391,0.6796891996129626,0.7000817351023557,0.6929304286718201
11,0.6559792904853821,1.1424765072341234,0.7832386488463398,0.689786835324432,0.7645182490096748,0.7941907652175039,0.7452972221651758,0.7782709442643891,0.780505248633417,0.7832386488463398,0.599297645076237,0.7043987910747687,0.5742612392157529,0.6670681568136356,0.6969100606788894,0.689786835324432
12,0.6272007478872935,1.1353647520519652,0.7875692364157054,0.6959990630124151,0.7736700188166635,0.8010227917761895,0.7555246287242086,0.7832571076874851,0.7854807991111378,0.7875692364157054,0.6147656039258909,0.704446630856452,0.5921686298630858,0.6758946065804162,0.7000328518038318,0.6959990630124151
13,0.6116825284163158,1.1252075335327185,0.7912646452950253,0.7014195361911455,0.7761183701465512,0.8012455565667994,0.7593596742623682,0.7868809524961289,0.7883811762719051,0.7912646452950253,0.6295611293931953,0.710722489820264,0.6123431088192384,0.6828482437763457,0.7063602370592128,0.7014195361911455
14,0.5830302700996399,1.1584778737347081,0.7989701446630775,0.6961747481845866,0.7878872739913079,0.813173549901687,0.7731272028626756,0.7946491139773919,0.796199317401572,0.7989701446630775,0.6135222573384245,0.7153430705560829,0.5907528253144979,0.672912984951296,0.7060528081739068,0.6961747481845866
15,0.5583451021512349,1.1671431203776936,0.8060837582935081,0.690367767627079,0.7931611655681233,0.8180753611401368,0.7786280785982249,0.8017088965375286,0.8031481904336069,0.8060837582935081,0.6179111001707449,0.7094952771157925,0.5988030835705012,0.6724138446326632,0.7015141774905362,0.690367767627079
16,0.5503192653656006,1.1538199698025327,0.8072113135469463,0.7007472475989693,0.7972418616053982,0.8172243193167522,0.7843618881435833,0.8032581685188512,0.8041174884491915,0.8072113135469463,0.633480729276596,0.7048924306163639,0.6230379634473591,0.6829209334571575,0.7052818046376973,0.7007472475989693
17,0.5340524322986603,1.137635128115708,0.8112543583725985,0.7047809791520262,0.8005620492995575,0.8204254609872123,0.7873940545394027,0.8075917691166505,0.8083514483263711,0.8112543583725985,0.6382917183709346,0.7006110902875762,0.6346361166515672,0.6878894899417066,0.707033859074304,0.7047809791520262
